#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46208  52.520 -132.690 2019 03 11 23 00 290   7.0   9.0  4.8  17   MM  MM 1006.0  +1.3   6.4    MM    MM   MM     MM
46211  46.858 -124.244 2019 03 11 23 30  MM    MM    MM  2.1  13  8.2 284     MM    MM    MM   8.0    MM   MM     MM
46213  40.295 -124.732 2019 03 11 23 30  MM    MM    MM  2.4  14   MM  MM     MM    MM    MM  11.3    MM   MM     MM
46214  37.950 -123.472 2019 03 11 23 30  MM    MM    MM  3.0  15  9.0 298     MM    MM    MM  12.5    MM   MM     MM
46217  34.167 -119.435 2019 03 11 23 21  MM    MM    MM  1.0  11  7.5 268     MM    MM    MM  12.4    MM   MM     MM
46218  34.454 -120.783 2019 03 11 23 30  MM    MM    MM  3.5  17 10.1 299     MM    MM    MM  13.7    MM   MM     MM
46219  33.225 -119.882 2019 03 11 23 00  MM    MM    MM  3.4  17   MM  MM     MM    MM    MM  14.6    MM   MM     MM
46221  33.855 -118.634 2019 03 11 23 30  MM    MM    MM  0.8  18  9.3 238     MM    MM    MM  14.1    MM   MM     MM
46222  33.618 -118.317 2019 03 11 23 30  MM    MM    MM  1.1  17  8.6 270     MM    MM    MM  13.4    MM   MM     MM
46224  33.178 -117.472 2019 03 11 23 30  MM    MM    MM  0.8  18  5.8 214     MM    MM    MM  14.6    MM   MM     MM
46225  32.933 -117.391 2019 03 11 23 30  MM    MM    MM  1.2  18  7.0 270     MM    MM    MM  14.7    MM   MM     MM
46229  43.772 -124.549 2019 03 11 23 30  MM    MM    MM  2.2  12 10.7 282     MM    MM    MM  10.2    MM   MM     MM
46232  32.530 -117.421 2019 03 11 23 30  MM    MM    MM  1.5  17  8.7 274     MM    MM    MM  14.6    MM   MM     MM
46235  32.570 -117.169 2019 03 11 23 30  MM    MM    MM  1.2  18  8.5 268     MM    MM    MM  14.4    MM   MM     MM
